TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,POSS,PIE,Game_ID
1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,19.38,120.5,95.2,25.3,0.222,0,14.3,0,0.2,0.114,0,0.75,0.75,0.261,100.34,83.61,39,0.31,22400488
1610612766,CHA,Charlotte,201959,Taj Gibson,7.98,127.8,78.9,48.8,0,0,0,0,0,0,0,0,0.568,0.045,111.25,92.71,18,0.016,22400488
1610612739,CLE,Cleveland,1629731,Dean Wade,21.78,131.9,97.8,34.1,0.091,0,33.3,0.045,0.125,0.087,0,0.75,0.75,0.077,102.44,85.37,47,0.075,22400488
1610612739,CLE,Cleveland,1630596,Evan Mobley,31.40,116.4,101.5,14.9,0.043,1,5.9,0.032,0.111,0.075,5.9,0.5,0.559,0.222,102.42,85.35,67,0.126,22400488
1610612739,CLE,Cleveland,1628386,Jarrett Allen,28.10,123.7,115.3,8.5,0.1,2,14.3,0.179,0.207,0.193,7.1,0.9,0.873,0.176,100.78,83.99,59,0.2,22400488
1610612739,CLE,Cleveland,1628378,Donovan Mitchell,29.27,113.1,108.2,4.9,0.211,4,19,0,0.094,0.048,4.8,0.594,0.594,0.258,100.05,83.37,61,0.138,22400488
1610612739,CLE,Cleveland,1629636,Darius Garland,29.27,129.5,112.9,16.6,0.087,1,10,0,0.1,0.051,10,0.714,0.772,0.257,100.87,84.05,61,0.138,22400488
1610612739,CLE,Cleveland,1627777,Georges Niang,18.37,115.8,102.7,13.1,0.214,1,23.1,0,0.091,0.05,23.1,0.714,0.714,0.238,98.03,81.69,38,0.054,22400488
1610612739,CLE,Cleveland,1627747,Caris LeVert,24.68,107.7,111.8,-4.1,0.316,3,42.9,0.037,0.129,0.086,14.3,0.167,0.167,0.133,100.15,83.46,52,0.047,22400488
1610612739,CLE,Cleveland,1629622,Max Strus,24.77,119.2,74.5,44.7,0.19,4,26.7,0,0.086,0.048,6.7,0.389,0.455,0.19,99.81,83.18,52,0.123,22400488
1610612739,CLE,Cleveland,1629660,Ty Jerome,20.17,118.2,90.7,27.5,0.333,0,33.3,0.043,0.13,0.087,0,0.4,0.4,0.204,103.54,86.28,44,0.123,22400488
1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,3.05,0,150,-150,0,0,0,0,0,0,0,0,0,0,94.43,78.69,6,0,22400488
1610612739,CLE,Cleveland,202684,Tristan Thompson,3.05,0,150,-150,0,0,0,0,0,0,0,0,0,0.286,94.43,78.69,6,-0.462,22400488
1610612739,CLE,Cleveland,1630550,JT Thor,3.05,0,150,-150,0,0,0,0,0,0,100,0,0,0.143,94.43,78.69,6,-0.154,22400488
1610612739,CLE,Cleveland,1642281,Jaylon Tyson,3.05,0,150,-150,0,0,0,0,0.5,0.143,0,0,0,0.286,94.43,78.69,6,-0.154,22400488
